KDJ,KabKot,Region,Province,Regency_Ci,District_name,sat_2019,sat_2020,gdp_2019,gdp_2020
9428,Kabupaten Mamberamo Raya,Papua,Papua,Regency,Mamberamo Raya,4.72109288,11.42952102,1014,1017
7110,Kabupaten Bolaang Mongondow Selatan,Sulawesi,North Sulawesi,Regency,Bolaang Mongondow Selatan,418.444864,491.9049017,1329,1337
1116,Kabupaten Aceh Jaya,Sumatera,Aceh,Regency,Aceh Jaya,365.4018896,392.3541715,1995,1982
1220,Kabupaten Padang Lawas Utara,Sumatera,North Sumatera,Regency,Padang Lawas Utara,335.0770237,154.5119488,8228,8323
6411,Kabupaten Mahakam Hulu,Kalimantan,East Kalimantan,Regency,Mahakam Ulu,3.859717786,7.631646931,1767,1763
7603,Kabupaten Mamasa,Sulawesi,West Sulawesi,Regency,Mamasa,49.47836004,33.7517015,2242,2214
7408,Kabupaten Kolaka Utara,Sulawesi,Southeast Sulawesi,Regency,Kolaka Utara,56.2687956,134.6964924,6331,6357
7108,Kabupaten Siau Tagulandang Biaro,Sulawesi,North Sulawesi,Regency,Kep. Siau Tagulandang Biaro,106.0118965,84.5158322,1594,1611
1175,Kota Subulussalam,Sumatera,Aceh,City,Subulussalam,393.2477542,474.6517158,1359,1385
8203,Kabupaten Kepulauan Sula,Maluku,North Maluku,Regency,Kepulauan Sula,151.7010159,163.0162369,1641,1648
1312,Kabupaten Pasaman Barat,Sumatera,West Sumatera,Regency,Pasaman Barat,522.5903787,612.9508031,11412,11259
1221,Kabupaten Padang Lawas,Sumatera,North Sumatera,Regency,Padang Lawas,298.797994,325.0639691,7959,8053
7322,Kabupaten Luwu Utara,Sulawesi,South Sulawesi,Regency,Luwu Utara,25.03110778,165.1771768,8221,8173
1105,Kabupaten Aceh Timur,Sumatera,Aceh,Regency,Aceh Timur,5957.143618,3836.269213,8147,8293
5316,Kabupaten Sumba Tengah,Nusa Tenggara,East Nusa Tenggara,Regency,Sumba Tengah,66.62238648,89.2683332,750,757
7317,Kabupaten Luwu,Sulawesi,South Sulawesi,Regency,Luwu,203.6430326,224.6693945,9729,9856
1608,Kabupaten Ogan Komering Ulu Selatan,Sumatera,South Sumatera,Regency,Ogan Komering Ulu Selatan,144.6387713,167.512841,5711,5732
7605,Kabupaten Mamuju Utara,Sulawesi,West Sulawesi,Regency,Mamuju Utara,202.8002964,170.3786658,7319,7123
7401,Kabupaten Buton,Sulawesi,Southeast Sulawesi,Regency,Buton,208.2609183,252.7133034,2767,2752
1109,Kabupaten Pidie,Sumatera,Aceh,Regency,Pidie,1517.453916,1301.955756,7780,7770
1217,Kabupaten Samosir,Sumatera,North Sumatera,Regency,Samosir,192.0625577,113.181258,3099,3080
7414,Kabupaten Buton Tengah,Sulawesi,Southeast Sulawesi,Regency,Buton Tengah,196.1315641,290.0663044,1678,1729
7209,Kabupaten Tojo Una-Una,Sulawesi,Central Sulawesi,Regency,Tojo Una-Una,434.5050269,494.5183842,3847,3724
8108,Kabupaten Maluku Barat Daya,Maluku,Maluku,Regency,Maluku Barat Daya,477.0200676,461.6241711,1065,1064
7301,Kabupaten Kepulauan Selayar,Sulawesi,South Sulawesi,Regency,Kepulauan Selayar,135.4938835,163.0377644,3686,3620
7104,Kabupaten Kepulauan Talaud,Sulawesi,North Sulawesi,Regency,Kepulauan Talaud,125.6548878,148.8903648,1605,1612
1202,Kabupaten Mandailing Natal,Sumatera,North Sumatera,Regency,Mandailing Natal,796.4552733,772.9602501,9376,9289
6210,Kabupaten Pulang Pisau,Kalimantan,Central Kalimantan,Regency,Pulang Pisau,461.3396989,432.0170642,3393,3485
6111,Kabupaten Kayong Utara,Kalimantan,West Kalimantan,Regency,Kayong Utara,139.9157216,143.0878548,2538,2519
1107,Kabupaten Aceh Barat,Sumatera,Aceh,Regency,Aceh Barat,1109.822557,1082.158257,6953,7083
7411,Kabupaten Kolaka Timur,Sulawesi,Southeast Sulawesi,Regency,Kolaka Timur,289.282418,303.4297913,3267,3257
1707,Kabupaten Lebong,Sumatera,Bengkulu,Regency,Lebong,57.29076397,67.46735156,2124,2127
7406,Kabupaten Bombana,Sulawesi,Southeast Sulawesi,Regency,Bombana,313.2132295,405.6425519,4682,4709
9408,Kabupaten Kepulauan Yapen,Papua,Papua,Regency,Kepulauan Yapen,530.9559697,444.2052947,2899,2770
7410,Kabupaten Konawe Utara,Sulawesi,Southeast Sulawesi,Regency,Konawe Utara,228.7552728,360.8947037,2849,2828
6109,Kabupaten Sekadau,Kalimantan,West Kalimantan,Regency,Sekadau,229.5838424,156.0615007,4294,4252
7207,Kabupaten Buol,Sulawesi,Central Sulawesi,Regency,Buol,319.5673376,253.6165637,3962,3847
1704,Kabupaten Kaur,Sumatera,Bengkulu,Regency,Kaur,99.35208735,123.1367765,2261,2264
