"districtID","district","sat2019","sat2020","gdp2019","gdp2020"
3509,"Kabupaten Jember",16919.09449,17617.57531,54200.04297,52586.55859
3510,"Kabupaten Banyuwangi",29317.42938,30735.42211,55274.03125,53295.06641
3511,"Kabupaten Bondowoso",3807.375879,4168.359678,13637.40039,13451.7002
3512,"Kabupaten Situbondo",5068.142556,5265.314024,13599.57031,13282.83008
3513,"Kabupaten Probolinggo",8744.864887,8749.227014,23395.25,22898.24023
3514,"Kabupaten Pasuruan",15200.00154,15053.86499,105289.1797,103300.0781
3515,"Kabupaten Sidoarjo",28341.58463,27835.63852,140492.9063,135305.2969
3516,"Kabupaten Mojokerto",21712.20855,21835.72925,58467.14844,57818.42578
3517,"Kabupaten Jombang",10230.25519,10103.04995,28216.19922,27657.5
3518,"Kabupaten Nganjuk",5733.856642,5185.697587,18304.20508,17990.36523
3519,"Kabupaten Madiun",4651.874285,4536.889549,13161.83984,12939.58301
3520,"Kabupaten Magetan",3588.020725,3654.669339,13237.47266,13020.88965
3521,"Kabupaten Ngawi",5595.972249,5794.766702,13710.88574,13479.74219
3522,"Kabupaten Bojonegoro",11655.49728,11824.36108,65985.67969,69703.42188
3523,"Kabupaten Tuban",12923.74358,13286.74616,45356.09375,42705.01563
3524,"Kabupaten Lamongan",10725.46896,11303.39301,27706.16016,26972.65039
3525,"Kabupaten Gresik",20034.30522,19991.3433,101346.5469,97616.60156
3526,"Kabupaten Bangkalan",9695.490226,10138.63883,18550.89844,17514.79883
3527,"Kabupaten Sampang",9502.652779,10069.37725,13994.78027,13953.73828
3528,"Kabupaten Pamekasan",9042.718848,9507.708891,11408.40039,11117.59961
3529,"Kabupaten Sumenep",7318.012778,8056.082447,23816.4375,23546.50781
3571,"Kota Kediri",2065.888218,1889.587773,90001.51563,84374.98438
3572,"Kota Blitar",988.1453189,1001.67342,4832.891602,4722.554199
3573,"Kota Malang",6286.941188,5967.068111,52334.75,51390.23047
3574,"Kota Probolinggo",2220.036782,2099.698686,8338.767578,8035.26709
