KDJ;KABKOT;PROVINSI;PULAU;Region;KDJ_1;Province;Regency_Ci;acuan;Distric_Na;sat2012;sat2013;sat2014;sat2015;sat2016;sat2017;sat2018;sat2019;sat2020;gdp2012;gdp2013;gdp2014;gdp2015;gdp2016;gdp2017;gdp2018;gdp2019;gdp2020
9433;Kabupaten Puncak;Papua; ;Papua;9433;Papua;Regency;Puncak;Puncak;0;0;0;0;0;0;0;0;1.69173336;491.91;537.156;587.667;643.13;690.204;736.283;785.778;826.5165184;827.1777316
9411;Kabupaten Puncak Jaya;Papua; ;Papua;9411;Papua;Regency;Puncak Jaya;Puncak Jaya;0;0;0;0;1.003113866;2.210053682;0;0;0.844635069;721.698;755.253;788.374;846.841;885.587;918.368;959.907;1010.704324;977.2500106
9109;Kabupaten Tambrauw;Papua Barat; ;Papua;9109;Papua Barat;Regency;Tambrauw, Kab;Tambrauw, Kab;0;5.49109596;0;0;2.938608546;5.909530848;10.3690272;12.15032759;15.52733228;111.808;125.4;113.384;119.995;125.932;133.906;141.212;150.4595711;146.7131278
9418;Kabupaten Tolikara;Papua; ;Papua;9418;Papua;Regency;Tolikara;Tolikara;0;0;0;0;0;4.094046861;1.374387056;1.794407114;0;742.365;788.044;840.987;882.032;922.39;964.907;1009.643;1053.586685;1058.74926
9416;Kabupaten Yahukimo;Papua; ;Papua;9416;Papua;Regency;Yahukimo;Yahukimo;0;0;0;0;0;16.36507201;0;0;0;1006.768;1075.081;1150.544;1232.487;1289.36;1367.352;1441.958;1546.792012;1546.946691
9432;Kabupaten Yalimo;Papua; ;Papua;9432;Papua;Regency;Yalimo;Yalimo;0;0;0;0;0;0.911490738;2.863927186;0;1.949134469;444.072;498.813;547.907;596.675;637.474;670.51;714.095;757.1466687;764.5667061
9427;Kabupaten Supiori;Papua; ;Papua;9427;Papua;Regency;Supiori;Supiori;0.011318328;2.742892073;9.971559454;11.72935097;10.83091367;71.88690367;80.95177718;82.22921361;83.34955566;555.445;579.076;616.182;642.279;670.809;697.752;726.963;760.763927;769.284483
9426;Kabupaten Waropen;Papua; ;Papua;9426;Papua;Regency;Waropen;Waropen;0.279205605;7.640490159;10.29591791;20.69655232;25.60997554;14.60365508;31.39941034;38.67281605;26.73929888;829.727;927.493;1024.694;1123.721;1229.958;1324.748;1419.471;1508.548318;1472.946578
9103;Kabupaten Teluk Wondama;Papua Barat; ;Papua;9103;Papua Barat;Regency;Teluk Wondama;Teluk Wondama;0.747375488;-0.185511388;2.895492971;26.1987022;34.27570026;42.70259023;41.52948463;32.21389011;88.03123203;832.099;845.721;810.361;841.912;887.502;933.938;971.435;1012.060152;979.4718152
1278;Kota Gunungsitoli;Sumatera Utara; ;Sumatera;1278;North Sumatera;City;Kota Gunung Sitoli;Gunung Sitoli;1.93145442;103.0966475;128.5838549;80.61833821;15.13485765;345.5775787;379.9259989;342.2561481;223.565862;2276.15;2417.72;2565.26;2703.5;2876.34;3049.12;3232.97;3428.442409;3441.470491
8208;Kabupaten Pulau Taliabu;Maluku Utara; ;Maluku;8208;North Maluku;Regency;Pulau Taliabu;Pulau Taliabu;2.511069188;7.058120513;12.46640304;33.22598658;50.17717828;87.13255021;190.2258768;194.1940601;207.1638681;688;649.6;687.9;726.5;767.9;808.6;906.1;994.6000598;1005.14282
7413;Kabupaten Muna Barat;Sulawesi Tenggara; ;Sulawesi;7413;Southeast Sulawesi;Regency;Muna Barat;Muna Barat;3.224586967;11.28419092;9.489024046;47.53314604;54.83466709;99.25460623;126.2630308;143.2802129;180.3965722;1397.545;1432.432;1326.541;1433.663;1537.091;1618.722;1725.997;1843.385273;1851.127491
1301;Kabupaten Kepulauan Mentawai;Sumatera Barat; ;Sumatera;1301;West Sumatera;Regency;Kepulauan Mentawai;Kepulauan Mentawai;3.263004329;7.968982123;19.35511783;16.98867278;0;45.1291137;73.01763332;54.82205851;23.31175151;2114.319;2236.274;2360.746;2483.572;2608.127;2741.55;2876.245;3012.122564;2956.398296
7606;Kabupaten Mamuju Tengah;Sulawesi Barat; ;Sulawesi;7606;West Sulawesi;Regency;Mamuju Tengah;Mamuju Tengah;3.331722111;1.889750034;3.910245636;18.16201199;24.60139723;16.81706521;30.02590366;90.56630722;60.44492146;1520.16;1603.34;1698.376;1812.679;1902.194;2005.783;2120.421;2245.512041;2236.529993
1216;Kabupaten Pakpak Bharat;Sumatera Utara; ;Sumatera;1216;North Sumatera;Regency;Pakpak Bharat;Pakpak Bharat;4.356251515;20.77360506;32.68529946;25.01836202;6.564881384;73.35283707;72.24535182;67.912729;84.89132054;569.86;603.55;639.29;677.18;717.89;760.55;805.01;852.802436;851.2673916
9106;Kabupaten Sorong Selatan;Papua Barat; ;Papua;9106;Papua Barat;Regency;Sorong Selatan;Sorong Selatan;4.933953863;7.747146562;54.46011742;72.43299869;67.18181207;74.62585049;84.26337188;54.13211806;80.30574648;838.363;894.94;959.098;1020.523;1082.126;1163.013;1235.084;1304.768944;1256.362016
1271;Kota Sibolga;Sumatera Utara; ;Sumatera;1271;North Sumatera;City;Kota Sibolga;Sibolga;6.043301344;22.39284626;139.6885066;139.6756207;136.1031207;296.7916539;285.222576;280.4938008;240.1454426;2458.5;2605.01;2758.57;2914.51;3063.07;3224.58;3393.91;3570.81675;3522.253642
1214;Kabupaten Nias Selatan;Sumatera Utara; ;Sumatera;1214;North Sumatera;Regency;Nias Selatan;Nias Selatan;6.825848579;29.50555149;67.86036257;45.60241655;0;152.9111769;181.4010318;115.370441;127.4165801;3074.46;3217.4;3356.39;3506.03;3659.77;3826.62;4018.74;4224.58598;4250.355954
9409;Kabupaten Biak Numfor;Papua; ;Papua;9409;Papua;Regency;Biak Numfor;Biak Numfor;6.892444352;188.4121248;602.9336096;694.9133138;882.0778924;1216.320332;1185.068537;1383.27943;1528.692983;2774.997;2970.762;3130.187;3336.779;3469.28;3311.295;3324.972;3429.178412;3261.491587
1813;Kabupaten Pesisir Barat;Lampung; ;Sumatera;1813;Lampung;Regency;Pesisir Barat;Pesisir Barat;7.782888636;5.719430894;13.69203534;24.8768443;20.65982412;57.71523103;70.83269482;90.41769773;163.8490783;2165.799;2285.815;2402.314;2520.889;2654.543;2795.954;2945.568;3104.284601;3067.964472
8109;Kabupaten Buru Selatan;Maluku; ;Maluku;8109;Maluku;Regency;Buru Selatan;Buru Selatan;7.979764898;5.356981249;15.20185301;23.01305436;32.85406417;57.31458412;64.88939923;60.34813285;68.87789686;590.025;621.698;660.56;705.279;748.857;794.736;842.551;891.2965694;891.2074398
7201;Kabupaten Banggai Kepulauan;Sulawesi Tengah; ;Sulawesi;7201;Central Sulawesi;Regency;Banggai Kepulauan;Banggai Kepulauan;8.779629514;21.24048473;36.50765274;53.76149463;60.19609455;100.030176;122.8136515;127.6745022;194.2998867;1792.018;1920.748;2055.537;2192.338;2332.565;2461.854;2614.256;2685.721506;2605.687005
7415;Kabupaten Buton Selatan;Sulawesi Tenggara; ;Sulawesi;7415;Southeast Sulawesi;Regency;Buton Selatan;Buton Selatan;9.491109672;17.54301346;13.33536909;34.16924869;70.40782987;163.4096852;174.922551;196.3867293;223.3217712;1610.812;1643.792;1562.366;1626.277;1742.734;1864.303;1966.413;2082.936344;2068.147496
7409;Kabupaten Buton Utara;Sulawesi Tenggara; ;Sulawesi;7409;Southeast Sulawesi;Regency;Buton Utara;Buton Utara;10.10134497;20.94946096;19.48227118;33.40009032;31.56400564;44.03996524;49.68719825;53.51864381;69.74446356;1423.853;1549.525;1698.127;1768.242;1875.125;1992.948;2110.327;2229.626199;2251.699499
6211;Kabupaten Gunung Mas;Kalimantan Tengah;Kalimantan;Kalimantan;6211;Central Kalimantan;Regency;Gunung Mas;Gunung Mas;10.88734383;26.11325916;44.14709709;54.52509414;98.16196234;148.2878146;257.932343;162.8321413;246.0807067;2202.329;2353.542;2504.47;2678.816;2866.19;3056.181;3266.13;3511.733773;3629.728027
8207;Kabupaten Pulau Morotai;Maluku Utara; ;Maluku;8207;North Maluku;Regency;Pulau Morotai;Pulau Morotai;10.96774785;45.86958071;63.27939809;76.23487084;113.876816;149.714582;201.4310741;229.772027;357.1081932;687.2;728.7;773.9;821.3;872.9;927.2;989.2;1036.544775;1064.324175
9108;Kabupaten Raja Ampat;Papua Barat; ;Papua;9108;Papua Barat;Regency;Raja Ampat;Raja Ampat;11.06364239;7.774152875;51.39449188;61.98726572;64.66715185;81.69141543;121.8955974;156.725385;128.9583166;1077.206;1127.56;2044.052;2084.416;2134.089;2133.873;2226.729;2319.221298;2285.128745
7211;Kabupaten Banggai Laut;Sulawesi Tengah; ;Sulawesi;7211;Central Sulawesi;Regency;Banggai Laut;Banggai Laut;12.2637573;28.90915702;49.0528523;81.87236664;80.85605807;116.1103936;124.130191;147.131757;161.9433495;1078.05;1162.185;1253.191;1353.141;1459.529;1542.831;1645.718;1688.56731;1615.283489
5320;Kabupaten Sabu Raijua;Nusa Tenggara Timur; ;Nusa Tenggara;5320;East Nusa Tenggara;Regency;Sabu Raijua;Sabu Raijua;12.77671083;18.61374347;20.59983314;29.02256264;34.43584862;97.22882673;114.3487174;118.511854;163.6513449;555.82;583.84;613.86;644.8;677.33;711.9;748.41;786.8501107;783.7813953
1204;Kabupaten Tapanuli Tengah;Sumatera Utara; ;Sumatera;1204;North Sumatera;Regency;Tapanuli Tengah;Tapanuli Tengah;13.15692264;34.64526358;330.7412818;149.5943527;176.8918877;439.0023846;730.946322;506.5076786;565.8447269;4943.04;5199.02;5460.78;5738.32;6032.21;6348.44;6678.25;7024.021373;6970.63881
